Date	Sunrise	Sunset	Daylength
02/04/2015	06:46:56 AM	05:26:58 PM	10h 40m 2s
02/05/2015	06:46:06 AM	05:27:56 PM	10h 41m 50s
02/06/2015	06:45:15 AM	05:28:54 PM	10h 43m 39s
02/07/2015	06:44:23 AM	05:29:52 PM	10h 45m 29s
02/08/2015	06:43:29 AM	05:30:50 PM	10h 47m 21s
02/09/2015	06:42:34 AM	05:31:47 PM	10h 49m 13s
02/10/2015	06:41:38 AM	05:32:44 PM	10h 51m 6s
02/11/2015	06:40:40 AM	05:33:41 PM	10h 53m 1s
02/12/2015	06:39:41 AM	05:34:38 PM	10h 54m 57s
02/13/2015	06:38:41 AM	05:35:34 PM	10h 56m 53s
02/14/2015	06:37:40 AM	05:36:30 PM	10h 58m 50s
02/15/2015	06:36:38 AM	05:37:26 PM	11h 0m 48s
02/16/2015	06:35:34 AM	05:38:21 PM	11h 2m 47s
02/17/2015	06:34:30 AM	05:39:16 PM	11h 4m 46s
02/18/2015	06:33:25 AM	05:40:11 PM	11h 6m 46s
02/19/2015	06:32:18 AM	05:41:05 PM	11h 8m 47s
02/20/2015	06:31:11 AM	05:41:59 PM	11h 10m 48s
02/21/2015	06:30:02 AM	05:42:52 PM	11h 12m 50s
02/22/2015	06:28:53 AM	05:43:46 PM	11h 14m 53s
02/23/2015	06:27:43 AM	05:44:39 PM	11h 16m 56s
02/24/2015	06:26:32 AM	05:45:31 PM	11h 18m 59s
02/25/2015	06:25:20 AM	05:46:23 PM	11h 21m 3s
02/26/2015	06:24:08 AM	05:47:15 PM	11h 23m 7s
02/27/2015	06:22:55 AM	05:48:07 PM	11h 25m 12s
02/28/2015	06:21:41 AM	05:48:58 PM	11h 27m 17s
03/01/2015	06:20:26 AM	05:49:49 PM	11h 29m 23s
03/02/2015	06:19:11 AM	05:50:39 PM	11h 31m 28s
03/03/2015	06:17:55 AM	05:51:30 PM	11h 33m 35s
03/04/2015	06:16:38 AM	05:52:19 PM	11h 35m 41s
03/05/2015	06:15:21 AM	05:53:09 PM	11h 37m 48s
03/06/2015	06:14:04 AM	05:53:58 PM	11h 39m 54s
03/07/2015	06:12:46 AM	05:54:47 PM	11h 42m 1s
03/08/2015	07:11:30 AM	06:55:34 PM	11h 44m 4s
03/09/2015	07:10:11 AM	06:56:23 PM	11h 46m 12s
03/10/2015	07:08:52 AM	06:57:11 PM	11h 48m 19s
03/11/2015	07:07:32 AM	06:57:59 PM	11h 50m 27s
03/12/2015	07:06:12 AM	06:58:47 PM	11h 52m 35s
03/13/2015	07:04:51 AM	06:59:34 PM	11h 54m 43s
03/14/2015	07:03:31 AM	07:00:22 PM	11h 56m 51s
03/15/2015	07:02:10 AM	07:01:09 PM	11h 58m 59s
03/16/2015	07:00:48 AM	07:01:56 PM	12h 1m 8s
03/17/2015	06:59:27 AM	07:02:43 PM	12h 3m 16s
03/18/2015	06:58:05 AM	07:03:29 PM	12h 5m 24s
03/19/2015	06:56:44 AM	07:04:16 PM	12h 7m 32s
03/20/2015	06:55:22 AM	07:05:02 PM	12h 9m 40s
03/21/2015	06:54:00 AM	07:05:48 PM	12h 11m 48s
03/22/2015	06:52:38 AM	07:06:34 PM	12h 13m 56s
03/23/2015	06:51:16 AM	07:07:20 PM	12h 16m 4s
03/24/2015	06:49:54 AM	07:08:06 PM	12h 18m 12s
03/25/2015	06:48:32 AM	07:08:52 PM	12h 20m 20s
03/26/2015	06:47:10 AM	07:09:37 PM	12h 22m 27s
03/27/2015	06:45:48 AM	07:10:23 PM	12h 24m 35s
03/28/2015	06:44:26 AM	07:11:08 PM	12h 26m 42s
03/29/2015	06:43:05 AM	07:11:54 PM	12h 28m 49s
03/30/2015	06:41:43 AM	07:12:39 PM	12h 30m 56s
03/31/2015	06:40:22 AM	07:13:25 PM	12h 33m 3s
04/01/2015	06:39:01 AM	07:14:10 PM	12h 35m 9s
04/02/2015	06:37:40 AM	07:14:56 PM	12h 37m 16s
04/03/2015	06:36:20 AM	07:15:41 PM	12h 39m 21s
04/04/2015	06:35:00 AM	07:16:27 PM	12h 41m 27s
04/05/2015	06:33:40 AM	07:17:12 PM	12h 43m 32s
04/06/2015	06:32:21 AM	07:17:57 PM	12h 45m 36s
04/07/2015	06:31:02 AM	07:18:43 PM	12h 47m 41s
04/08/2015	06:29:43 AM	07:19:29 PM	12h 49m 46s
04/09/2015	06:28:25 AM	07:20:14 PM	12h 51m 49s
04/10/2015	06:27:08 AM	07:21:00 PM	12h 53m 52s
04/11/2015	06:25:51 AM	07:21:46 PM	12h 55m 55s
04/12/2015	06:24:34 AM	07:22:31 PM	12h 57m 57s
04/13/2015	06:23:18 AM	07:23:17 PM	12h 59m 59s
04/14/2015	06:22:03 AM	07:24:03 PM	13h 2m 0s
04/15/2015	06:20:48 AM	07:24:49 PM	13h 4m 1s
04/16/2015	06:19:34 AM	07:25:35 PM	13h 6m 1s
04/17/2015	06:18:21 AM	07:26:21 PM	13h 8m 0s
04/18/2015	06:17:08 AM	07:27:07 PM	13h 9m 59s
04/19/2015	06:15:57 AM	07:27:54 PM	13h 11m 57s
04/20/2015	06:14:45 AM	07:28:40 PM	13h 13m 55s
04/21/2015	06:13:35 AM	07:29:27 PM	13h 15m 52s
04/22/2015	06:12:26 AM	07:30:13 PM	13h 17m 47s
04/23/2015	06:11:17 AM	07:31:00 PM	13h 19m 43s
04/24/2015	06:10:10 AM	07:31:46 PM	13h 21m 36s
04/25/2015	06:09:03 AM	07:32:33 PM	13h 23m 30s
04/26/2015	06:07:57 AM	07:33:20 PM	13h 25m 23s
04/27/2015	06:06:52 AM	07:34:06 PM	13h 27m 14s
04/28/2015	06:05:48 AM	07:34:53 PM	13h 29m 5s
04/29/2015	06:04:45 AM	07:35:40 PM	13h 30m 55s
04/30/2015	06:03:44 AM	07:36:27 PM	13h 32m 43s
05/01/2015	06:02:43 AM	07:37:14 PM	13h 34m 31s
05/02/2015	06:01:43 AM	07:38:00 PM	13h 36m 17s
05/03/2015	06:00:45 AM	07:38:47 PM	13h 38m 2s
05/04/2015	05:59:48 AM	07:39:34 PM	13h 39m 46s
05/05/2015	05:58:51 AM	07:40:20 PM	13h 41m 29s
05/06/2015	05:57:56 AM	07:41:07 PM	13h 43m 11s
05/07/2015	05:57:03 AM	07:41:54 PM	13h 44m 51s
05/08/2015	05:56:10 AM	07:42:40 PM	13h 46m 30s
05/09/2015	05:55:19 AM	07:43:26 PM	13h 48m 7s
05/10/2015	05:54:29 AM	07:44:12 PM	13h 49m 43s
05/11/2015	05:53:41 AM	07:44:58 PM	13h 51m 17s
05/12/2015	05:52:54 AM	07:45:44 PM	13h 52m 50s
05/13/2015	05:52:08 AM	07:46:29 PM	13h 54m 21s
05/14/2015	05:51:23 AM	07:47:15 PM	13h 55m 52s
05/15/2015	05:50:40 AM	07:48:00 PM	13h 57m 20s
05/16/2015	05:49:58 AM	07:48:44 PM	13h 58m 46s
05/17/2015	05:49:18 AM	07:49:29 PM	14h 0m 11s
05/18/2015	05:48:40 AM	07:50:13 PM	14h 1m 33s
05/19/2015	05:48:02 AM	07:50:56 PM	14h 2m 54s
05/20/2015	05:47:26 AM	07:51:39 PM	14h 4m 13s
05/21/2015	05:46:52 AM	07:52:22 PM	14h 5m 30s
05/22/2015	05:46:19 AM	07:53:04 PM	14h 6m 45s
05/23/2015	05:45:48 AM	07:53:46 PM	14h 7m 58s
05/24/2015	05:45:19 AM	07:54:28 PM	14h 9m 9s
05/25/2015	05:44:50 AM	07:55:08 PM	14h 10m 18s
05/26/2015	05:44:24 AM	07:55:48 PM	14h 11m 24s
05/27/2015	05:43:59 AM	07:56:28 PM	14h 12m 29s
05/28/2015	05:43:36 AM	07:57:06 PM	14h 13m 30s
05/29/2015	05:43:14 AM	07:57:44 PM	14h 14m 30s
05/30/2015	05:42:54 AM	07:58:22 PM	14h 15m 28s
05/31/2015	05:42:35 AM	07:58:58 PM	14h 16m 23s
06/01/2015	05:42:18 AM	07:59:34 PM	14h 17m 16s
06/02/2015	05:42:03 AM	08:00:09 PM	14h 18m 6s
06/03/2015	05:41:49 AM	08:00:43 PM	14h 18m 54s
06/04/2015	05:41:37 AM	08:01:16 PM	14h 19m 39s
06/05/2015	05:41:26 AM	08:01:48 PM	14h 20m 22s
06/06/2015	05:41:17 AM	08:02:19 PM	14h 21m 2s
06/07/2015	05:41:10 AM	08:02:49 PM	14h 21m 39s
06/08/2015	05:41:04 AM	08:03:18 PM	14h 22m 14s
06/09/2015	05:41:00 AM	08:03:46 PM	14h 22m 46s
06/10/2015	05:40:57 AM	08:04:13 PM	14h 23m 16s
06/11/2015	05:40:56 AM	08:04:39 PM	14h 23m 43s
06/12/2015	05:40:57 AM	08:05:03 PM	14h 24m 6s
06/13/2015	05:40:59 AM	08:05:26 PM	14h 24m 27s
06/14/2015	05:41:02 AM	08:05:48 PM	14h 24m 46s
06/15/2015	05:41:07 AM	08:06:09 PM	14h 25m 2s
06/16/2015	05:41:14 AM	08:06:28 PM	14h 25m 14s
06/17/2015	05:41:22 AM	08:06:46 PM	14h 25m 24s
06/18/2015	05:41:31 AM	08:07:03 PM	14h 25m 32s
06/19/2015	05:41:42 AM	08:07:18 PM	14h 25m 36s
06/20/2015	05:41:54 AM	08:07:32 PM	14h 25m 38s
06/21/2015	05:42:08 AM	08:07:45 PM	14h 25m 37s
06/22/2015	05:42:23 AM	08:07:56 PM	14h 25m 33s
06/23/2015	05:42:39 AM	08:08:05 PM	14h 25m 26s
06/24/2015	05:42:57 AM	08:08:13 PM	14h 25m 16s
06/25/2015	05:43:16 AM	08:08:20 PM	14h 25m 4s
06/26/2015	05:43:36 AM	08:08:24 PM	14h 24m 48s
06/27/2015	05:43:58 AM	08:08:28 PM	14h 24m 30s
06/28/2015	05:44:20 AM	08:08:30 PM	14h 24m 10s
06/29/2015	05:44:44 AM	08:08:30 PM	14h 23m 46s
06/30/2015	05:45:09 AM	08:08:28 PM	14h 23m 19s
07/01/2015	05:45:35 AM	08:08:25 PM	14h 22m 50s
07/02/2015	05:46:02 AM	08:08:21 PM	14h 22m 19s
07/03/2015	05:46:30 AM	08:08:14 PM	14h 21m 44s
07/04/2015	05:46:59 AM	08:08:06 PM	14h 21m 7s
07/05/2015	05:47:29 AM	08:07:57 PM	14h 20m 28s
07/06/2015	05:48:00 AM	08:07:46 PM	14h 19m 46s
07/07/2015	05:48:31 AM	08:07:33 PM	14h 19m 2s
07/08/2015	05:49:04 AM	08:07:18 PM	14h 18m 14s
07/09/2015	05:49:38 AM	08:07:02 PM	14h 17m 24s
07/10/2015	05:50:12 AM	08:06:44 PM	14h 16m 32s
07/11/2015	05:50:47 AM	08:06:25 PM	14h 15m 38s
07/12/2015	05:51:22 AM	08:06:04 PM	14h 14m 42s
07/13/2015	05:51:59 AM	08:05:41 PM	14h 13m 42s
07/14/2015	05:52:36 AM	08:05:17 PM	14h 12m 41s
07/15/2015	05:53:13 AM	08:04:51 PM	14h 11m 38s
07/16/2015	05:53:52 AM	08:04:23 PM	14h 10m 31s
07/17/2015	05:54:30 AM	08:03:54 PM	14h 9m 24s
07/18/2015	05:55:10 AM	08:03:24 PM	14h 8m 14s
07/19/2015	05:55:49 AM	08:02:51 PM	14h 7m 2s
07/20/2015	05:56:29 AM	08:02:17 PM	14h 5m 48s
07/21/2015	05:57:10 AM	08:01:42 PM	14h 4m 32s
07/22/2015	05:57:51 AM	08:01:05 PM	14h 3m 14s
07/23/2015	05:58:32 AM	08:00:27 PM	14h 1m 55s
07/24/2015	05:59:14 AM	07:59:47 PM	14h 0m 33s
07/25/2015	05:59:56 AM	07:59:05 PM	13h 59m 9s
07/26/2015	06:00:38 AM	07:58:22 PM	13h 57m 44s
07/27/2015	06:01:20 AM	07:57:38 PM	13h 56m 18s
07/28/2015	06:02:03 AM	07:56:52 PM	13h 54m 49s
07/29/2015	06:02:46 AM	07:56:05 PM	13h 53m 19s
07/30/2015	06:03:29 AM	07:55:16 PM	13h 51m 47s
07/31/2015	06:04:12 AM	07:54:26 PM	13h 50m 14s
08/01/2015	06:04:55 AM	07:53:35 PM	13h 48m 40s
08/02/2015	06:05:39 AM	07:52:43 PM	13h 47m 4s
08/03/2015	06:06:22 AM	07:51:49 PM	13h 45m 27s
08/04/2015	06:07:06 AM	07:50:54 PM	13h 43m 48s
08/05/2015	06:07:49 AM	07:49:57 PM	13h 42m 8s
08/06/2015	06:08:33 AM	07:49:00 PM	13h 40m 27s
08/07/2015	06:09:16 AM	07:48:01 PM	13h 38m 45s
08/08/2015	06:10:00 AM	07:47:01 PM	13h 37m 1s
08/09/2015	06:10:44 AM	07:46:00 PM	13h 35m 16s
08/10/2015	06:11:27 AM	07:44:57 PM	13h 33m 30s
08/11/2015	06:12:11 AM	07:43:54 PM	13h 31m 43s
08/12/2015	06:12:54 AM	07:42:50 PM	13h 29m 56s
08/13/2015	06:13:38 AM	07:41:44 PM	13h 28m 6s
08/14/2015	06:14:21 AM	07:40:38 PM	13h 26m 17s
08/15/2015	06:15:04 AM	07:39:30 PM	13h 24m 26s
08/16/2015	06:15:47 AM	07:38:22 PM	13h 22m 35s
08/17/2015	06:16:31 AM	07:37:13 PM	13h 20m 42s
08/18/2015	06:17:14 AM	07:36:02 PM	13h 18m 48s
08/19/2015	06:17:56 AM	07:34:51 PM	13h 16m 55s
08/20/2015	06:18:39 AM	07:33:39 PM	13h 15m 0s
08/21/2015	06:19:22 AM	07:32:27 PM	13h 13m 5s
08/22/2015	06:20:05 AM	07:31:13 PM	13h 11m 8s
08/23/2015	06:20:47 AM	07:29:59 PM	13h 9m 12s
08/24/2015	06:21:29 AM	07:28:44 PM	13h 7m 15s
08/25/2015	06:22:12 AM	07:27:28 PM	13h 5m 16s
08/26/2015	06:22:54 AM	07:26:11 PM	13h 3m 17s
08/27/2015	06:23:36 AM	07:24:54 PM	13h 1m 18s
08/28/2015	06:24:18 AM	07:23:37 PM	12h 59m 19s
08/29/2015	06:25:00 AM	07:22:18 PM	12h 57m 18s
08/30/2015	06:25:42 AM	07:20:59 PM	12h 55m 17s
08/31/2015	06:26:23 AM	07:19:40 PM	12h 53m 17s
09/01/2015	06:27:05 AM	07:18:20 PM	12h 51m 15s
09/02/2015	06:27:46 AM	07:16:59 PM	12h 49m 13s
09/03/2015	06:28:28 AM	07:15:39 PM	12h 47m 11s
09/04/2015	06:29:09 AM	07:14:17 PM	12h 45m 8s
09/05/2015	06:29:51 AM	07:12:55 PM	12h 43m 4s
09/06/2015	06:30:32 AM	07:11:33 PM	12h 41m 1s
09/07/2015	06:31:13 AM	07:10:11 PM	12h 38m 58s
09/08/2015	06:31:55 AM	07:08:48 PM	12h 36m 53s
09/09/2015	06:32:36 AM	07:07:25 PM	12h 34m 49s
09/10/2015	06:33:17 AM	07:06:02 PM	12h 32m 45s
09/11/2015	06:33:58 AM	07:04:38 PM	12h 30m 40s
09/12/2015	06:34:40 AM	07:03:14 PM	12h 28m 34s
09/13/2015	06:35:21 AM	07:01:51 PM	12h 26m 30s
09/14/2015	06:36:02 AM	07:00:26 PM	12h 24m 24s
09/15/2015	06:36:44 AM	06:59:02 PM	12h 22m 18s
09/16/2015	06:37:25 AM	06:57:38 PM	12h 20m 13s
09/17/2015	06:38:06 AM	06:56:14 PM	12h 18m 8s
09/18/2015	06:38:48 AM	06:54:49 PM	12h 16m 1s
09/19/2015	06:39:30 AM	06:53:25 PM	12h 13m 55s
09/20/2015	06:40:11 AM	06:52:01 PM	12h 11m 50s
09/21/2015	06:40:53 AM	06:50:36 PM	12h 9m 43s
09/22/2015	06:41:35 AM	06:49:12 PM	12h 7m 37s
09/23/2015	06:42:17 AM	06:47:48 PM	12h 5m 31s
09/24/2015	06:43:00 AM	06:46:24 PM	12h 3m 24s
09/25/2015	06:43:42 AM	06:45:00 PM	12h 1m 18s
09/26/2015	06:44:25 AM	06:43:37 PM	11h 59m 12s
09/27/2015	06:45:08 AM	06:42:13 PM	11h 57m 5s
09/28/2015	06:45:51 AM	06:40:50 PM	11h 54m 59s
09/29/2015	06:46:34 AM	06:39:27 PM	11h 52m 53s
09/30/2015	06:47:17 AM	06:38:05 PM	11h 50m 48s
10/01/2015	06:48:01 AM	06:36:42 PM	11h 48m 41s
10/02/2015	06:48:45 AM	06:35:21 PM	11h 46m 36s
10/03/2015	06:49:29 AM	06:33:59 PM	11h 44m 30s
10/04/2015	06:50:14 AM	06:32:38 PM	11h 42m 24s
10/05/2015	06:50:59 AM	06:31:18 PM	11h 40m 19s
10/06/2015	06:51:44 AM	06:29:58 PM	11h 38m 14s
10/07/2015	06:52:29 AM	06:28:38 PM	11h 36m 9s
10/08/2015	06:53:15 AM	06:27:19 PM	11h 34m 4s
10/09/2015	06:54:01 AM	06:26:01 PM	11h 32m 0s
10/10/2015	06:54:47 AM	06:24:43 PM	11h 29m 56s
10/11/2015	06:55:34 AM	06:23:26 PM	11h 27m 52s
10/12/2015	06:56:21 AM	06:22:09 PM	11h 25m 48s
10/13/2015	06:57:08 AM	06:20:54 PM	11h 23m 46s
10/14/2015	06:57:56 AM	06:19:38 PM	11h 21m 42s
10/15/2015	06:58:44 AM	06:18:24 PM	11h 19m 40s
10/16/2015	06:59:32 AM	06:17:11 PM	11h 17m 39s
10/17/2015	07:00:21 AM	06:15:58 PM	11h 15m 37s
10/18/2015	07:01:10 AM	06:14:46 PM	11h 13m 36s
10/19/2015	07:02:00 AM	06:13:35 PM	11h 11m 35s
10/20/2015	07:02:50 AM	06:12:25 PM	11h 9m 35s
10/21/2015	07:03:40 AM	06:11:16 PM	11h 7m 36s
10/22/2015	07:04:31 AM	06:10:08 PM	11h 5m 37s
10/23/2015	07:05:22 AM	06:09:01 PM	11h 3m 39s
10/24/2015	07:06:13 AM	06:07:55 PM	11h 1m 42s
10/25/2015	07:07:05 AM	06:06:50 PM	10h 59m 45s
10/26/2015	07:07:57 AM	06:05:46 PM	10h 57m 49s
10/27/2015	07:08:49 AM	06:04:43 PM	10h 55m 54s
10/28/2015	07:09:42 AM	06:03:42 PM	10h 54m 0s
10/29/2015	07:10:35 AM	06:02:41 PM	10h 52m 6s
10/30/2015	07:11:29 AM	06:01:42 PM	10h 50m 13s
10/31/2015	07:12:23 AM	06:00:44 PM	10h 48m 21s
11/01/2015	06:13:19 AM	04:59:45 PM	10h 46m 26s
11/02/2015	06:14:14 AM	04:58:50 PM	10h 44m 36s
11/03/2015	06:15:08 AM	04:57:56 PM	10h 42m 48s
11/04/2015	06:16:03 AM	04:57:04 PM	10h 41m 1s
11/05/2015	06:16:59 AM	04:56:13 PM	10h 39m 14s
11/06/2015	06:17:54 AM	04:55:23 PM	10h 37m 29s
11/07/2015	06:18:50 AM	04:54:35 PM	10h 35m 45s
11/08/2015	06:19:46 AM	04:53:48 PM	10h 34m 2s
11/09/2015	06:20:42 AM	04:53:03 PM	10h 32m 21s
11/10/2015	06:21:38 AM	04:52:19 PM	10h 30m 41s
11/11/2015	06:22:35 AM	04:51:37 PM	10h 29m 2s
11/12/2015	06:23:31 AM	04:50:56 PM	10h 27m 25s
11/13/2015	06:24:28 AM	04:50:17 PM	10h 25m 49s
11/14/2015	06:25:24 AM	04:49:40 PM	10h 24m 16s
11/15/2015	06:26:21 AM	04:49:05 PM	10h 22m 44s
11/16/2015	06:27:17 AM	04:48:31 PM	10h 21m 14s
11/17/2015	06:28:14 AM	04:47:59 PM	10h 19m 45s
11/18/2015	06:29:10 AM	04:47:28 PM	10h 18m 18s
11/19/2015	06:30:07 AM	04:47:00 PM	10h 16m 53s
11/20/2015	06:31:03 AM	04:46:33 PM	10h 15m 30s
11/21/2015	06:31:59 AM	04:46:08 PM	10h 14m 9s
11/22/2015	06:32:55 AM	04:45:44 PM	10h 12m 49s
11/23/2015	06:33:50 AM	04:45:23 PM	10h 11m 33s
11/24/2015	06:34:45 AM	04:45:03 PM	10h 10m 18s
11/25/2015	06:35:40 AM	04:44:46 PM	10h 9m 6s
11/26/2015	06:36:35 AM	04:44:30 PM	10h 7m 55s
11/27/2015	06:37:29 AM	04:44:16 PM	10h 6m 47s
11/28/2015	06:38:22 AM	04:44:04 PM	10h 5m 42s
11/29/2015	06:39:15 AM	04:43:53 PM	10h 4m 38s
11/30/2015	06:40:08 AM	04:43:45 PM	10h 3m 37s
12/01/2015	06:41:00 AM	04:43:39 PM	10h 2m 39s
12/02/2015	06:41:51 AM	04:43:34 PM	10h 1m 43s
12/03/2015	06:42:41 AM	04:43:31 PM	10h 0m 50s
12/04/2015	06:43:31 AM	04:43:31 PM	10h 0m 0s
12/05/2015	06:44:20 AM	04:43:32 PM	9h 59m 12s
12/06/2015	06:45:08 AM	04:43:35 PM	9h 58m 27s
12/07/2015	06:45:55 AM	04:43:40 PM	9h 57m 45s
12/08/2015	06:46:41 AM	04:43:47 PM	9h 57m 6s
12/09/2015	06:47:27 AM	04:43:56 PM	9h 56m 29s
12/10/2015	06:48:11 AM	04:44:06 PM	9h 55m 55s
12/11/2015	06:48:54 AM	04:44:19 PM	9h 55m 25s
12/12/2015	06:49:36 AM	04:44:33 PM	9h 54m 57s
12/13/2015	06:50:17 AM	04:44:49 PM	9h 54m 32s
12/14/2015	06:50:56 AM	04:45:07 PM	9h 54m 11s
12/15/2015	06:51:35 AM	04:45:27 PM	9h 53m 52s
12/16/2015	06:52:12 AM	04:45:48 PM	9h 53m 36s
12/17/2015	06:52:47 AM	04:46:11 PM	9h 53m 24s
12/18/2015	06:53:21 AM	04:46:36 PM	9h 53m 15s
12/19/2015	06:53:54 AM	04:47:03 PM	9h 53m 9s
12/20/2015	06:54:26 AM	04:47:31 PM	9h 53m 5s
12/21/2015	06:54:56 AM	04:48:01 PM	9h 53m 5s
12/22/2015	06:55:24 AM	04:48:32 PM	9h 53m 8s
12/23/2015	06:55:51 AM	04:49:05 PM	9h 53m 14s
12/24/2015	06:56:16 AM	04:49:39 PM	9h 53m 23s
12/25/2015	06:56:39 AM	04:50:15 PM	9h 53m 36s
12/26/2015	06:57:01 AM	04:50:53 PM	9h 53m 52s
12/27/2015	06:57:21 AM	04:51:31 PM	9h 54m 10s
12/28/2015	06:57:40 AM	04:52:11 PM	9h 54m 31s
12/29/2015	06:57:57 AM	04:52:53 PM	9h 54m 56s
12/30/2015	06:58:12 AM	04:53:35 PM	9h 55m 23s
12/31/2015	06:58:25 AM	04:54:19 PM	9h 55m 54s
